FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus
12251,-101.3218389,48.21621826,1647,RES1,1,7,1.16,SLAB ON GRADE,159000,79500,85WW6PP8+6R
12252,-101.3119092,48.21303233,947,RES1,2,7,1.14,SLAB ON GRADE,98500,49250,85WW6MPR+72
12253,-101.3094213,48.21412057,1850,RES1,1,7,1.155,SLAB ON GRADE,114000,57000,85WW6PG7+88
12254,-101.3127351,48.21527124,1234,RES1,1,7,0.985,SLAB ON GRADE,94500,47250,85WW6PF4+3Q
12255,-101.3089763,48.21623588,1640,RES1,1,7,1.235,SLAB ON GRADE,103400,51700,85WW6MQV+3G
12256,-101.3082676,48.21707045,1801,RES1,1,7,1.065,SLAB ON GRADE,105000,52500,85WW6PG7+R8
12257,-101.299095,48.215539,2131,RES1,2,7,1.175,SLAB ON GRADE,79000,39500,85WW6PR6+G4
12258,-101.28956,48.215684,1428,RES1,2,7,1.8,SLAB ON GRADE,79500,39750,85WW6PF4+M6
12259,-101.268588,48.213052,1561,IND4,1,7,1.84,SLAB ON GRADE,110500,55250,85WW6PC5+F8
12260,-101.2646287,48.21309222,3209,COM4,1,7,2.28,SLAB ON GRADE,197600,98800,85WW6MW2+MR
12261,-101.2645432,48.21309314,2151,IND4,1,7,1.625,SLAB ON GRADE,92500,46250,85WW6M9V+WJ
12262,-101.2662345,48.21499875,4042,RES1,1,7,2.81,SLAB ON GRADE,172000,86000,85WW6MCQ+M5
12263,-101.3192516,48.21214697,3223,COM4,1,7,5,SLAB ON GRADE,173000,86500,85WW6MV7+3F
12264,-101.3195232,48.21218294,1778,COM4,1,7,0.97,SLAB ON GRADE,83500,41750,85WW7P72+X5
12265,-101.3186897,48.21288309,939,RES2,1,7,3.045,SLAB ON GRADE,37500,18750,85WW6PCX+JC
12266,-101.320341,48.2132995,649,RES2,1,7,3.015,SLAB ON GRADE,12000,6000,85WW6MCH+96
12267,-101.3150205,48.212893,4863,RES1,2,7,5.36,SLAB ON GRADE,281500,140750,85WW6PGF+37
12268,-101.3107523,48.21604327,2029,RES1,1,7,1.485,SLAB ON GRADE,214000,107000,85WW6MFR+4V
12269,-101.2937105,48.215066,910,RES1,2,7,1.84,SLAB ON GRADE,67500,33750,85WW6PJ5+4J
12270,-101.291693,48.215483,1763,RES1,1,5,1.395,CRAWL SPACE,104200,52100,85WW6MQG+MF
12271,-101.2889605,48.215463,1037,RES1,1,7,1,SLAB ON GRADE,101000,50500,85WW6P94+PQ
12272,-101.2930055,48.215655,2806,RES1,1,7,1.155,SLAB ON GRADE,228800,114400,85WW6MJ9+VR
12273,-101.2821532,48.21320101,3089,RES2,1,2,1.625,PIER,161500,80750,85WW6M6C+G6
12274,-101.3430605,48.2138615,2264,RES1,1,7,1.465,SLAB ON GRADE,127000,63500,85WW6MJF+PF
12275,-101.328746,48.21153102,2542,RES3A,1,7,3.78,SLAB ON GRADE,104500,52250,85WW7M4G+3X
12276,-101.3287479,48.21140776,1250,RES3A,1,7,1.095,SLAB ON GRADE,122500,61250,85WW6P8C+88
12277,-101.3351308,48.21658134,2230,COM4,1,7,4.045,SLAB ON GRADE,117000,58500,85WW6MXC+CH
12278,-101.321669,48.212944,875,RES2,1,7,2.985,SLAB ON GRADE,12000,6000,85WW6MCH+95
12279,-101.3221015,48.21421806,1221,RES1,1,7,1.86,SLAB ON GRADE,71000,35500,85WW6PG6+8F
12280,-101.3004723,48.21786114,1962,RES1,1,7,1.485,SLAB ON GRADE,143000,71500,85WW6M9R+HM
12281,-101.305201,48.214378,681,RES1,1,7,1.5,SLAB ON GRADE,53200,26600,85WW6PJG+6W
12282,-101.3134585,48.2144165,2019,RES1,2,7,1.625,SLAB ON GRADE,124000,62000,85WW6M7W+P3
12283,-101.293611,48.217436,310,RES1,1,7,1.33,SLAB ON GRADE,127000,63500,85WW6MMV+VF
12284,-101.2881975,48.216187,2949,RES1,1,7,2.39,SLAB ON GRADE,285000,142500,85WW6PCF+X6
12285,-101.2909161,48.21725954,2691,RES1,1,7,1.06,SLAB ON GRADE,223100,111550,85WW6MJ9+WX
12286,-101.278768,48.212597,2691,COM3,1,7,4.28,SLAB ON GRADE,129500,64750,85WW6MXF+C5
12287,-101.260756,48.213613,1445,COM8,1,7,1.28,SLAB ON GRADE,82000,41000,85WW6MWJ+JR
12288,-101.3294274,48.21150914,746,RES1,1,7,3.655,SLAB ON GRADE,46500,23250,85WW6PJ2+M9
12289,-101.3196145,48.21197379,1499,COM4,1,7,1.125,SLAB ON GRADE,80000,40000,85WW7M5V+FJ
12290,-101.3230929,48.21339731,1075,RES2,1,7,2.83,SLAB ON GRADE,37500,18750,85WW6P9X+XM
12291,-101.3047851,48.21750887,1997,RES1,2,7,1.175,SLAB ON GRADE,125000,62500,85WW6M7P+CV
12292,-101.3018558,48.21667184,3638,RES1,1,7,1.42,SLAB ON GRADE,232200,116100,85WW6MRR+G5
12293,-101.2869754,48.21556123,1133,RES1,1,7,1.655,SLAB ON GRADE,127000,63500,85WW6MWR+H5
12294,-101.32254,48.21498629,1636,RES1,1,7,1.11,SLAB ON GRADE,110000,55000,85WW6M8V+RR
12295,-101.3063046,48.21746032,954,RES1,1,7,1.485,SLAB ON GRADE,114300,57150,85WW6MRM+VV
12296,-101.3071112,48.21744961,2133,RES1,1,7,4.595,SLAB ON GRADE,131500,65750,85WW6PG9+X5
12297,-101.3156673,48.21340091,775,RES1,2,7,3,SLAB ON GRADE,8166,4083,85WW7M9X+JF
12298,-101.3132129,48.21405578,1191,RES1,1,7,1.785,SLAB ON GRADE,90000,45000,85WW6P82+M9
12299,-101.3089908,48.2170895,1551,RES1,1,7,5.16,SLAB ON GRADE,134000,67000,85WW6MCR+MV
12300,-101.286967,48.2177725,1313,RES1,1,7,3.17,SLAB ON GRADE,168500,84250,85WW6PCC+V5
12301,-101.2886,48.214857,1595,RES3E,1,7,1.08,SLAB ON GRADE,110000,55000,85WW6P76+WH
12302,-101.2923128,48.21577898,2058,RES1,1,7,1.395,SLAB ON GRADE,122500,61250,85WW6M6C+J6
12303,-101.255838,48.21800508,6912,IND2,1,7,4.765,SLAB ON GRADE,213600,106800,85WW6MW2+H4
12304,-101.3348541,48.21146768,1250,RES3A,1,7,1.205,SLAB ON GRADE,120500,60250,85WW6P8C+F6
12305,-101.3348575,48.21134258,1250,RES3A,1,7,1.155,SLAB ON GRADE,128500,64250,85WW6P8C+86
12306,-101.330217,48.21225366,1349,RES1,1,7,1.345,SLAB ON GRADE,68100,34050,85WW6PHP+WC
12307,-101.3243313,48.210511,1839,RES1,1,7,1.81,SLAB ON GRADE,127000,63500,85WW6QH2+4R
12308,-101.3180595,48.2135165,967,RES2,1,7,2.815,SLAB ON GRADE,12000,6000,85WW6MCG+5V
12309,-101.2868265,48.21756498,1408,RES1,1,5,1.545,CRAWL SPACE,119200,59600,85WW6PR2+XH
12310,-101.2930185,48.2178665,2819,RES1,1,7,4.405,SLAB ON GRADE,166500,83250,85WW6PG9+QJ
