DebrisID,Description,Finishes,Structure,Foundation,Comment
COM4NBSG0,COM4 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
COM4NBSG1,COM4 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
COM4NBSG4,COM4 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
COM4NBSG8,COM4 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
COM4NBSG12,COM4 without basement with slab on grade foundation at 12'+ water,5,30.3,25,
COM5NBFT0,COM5 without basement with footing foundation at 0-1' water,1.8,0,0,
COM5NBFT1,COM5 without basement with footing foundation at 1-4' water,1.8,0,0,
COM5NBFT4,COM5 without basement with footing foundation at 4-8' water,2.5,0,0,
COM5NBFT8,COM5 without basement with footing foundation at 8-12'+ water,4.3,0,0,
COM5NBFT12,COM5 without basement with footing foundation at 12'+ water,5,23.5,8.7,
COM5NBSG0,COM5 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
COM5NBSG1,COM5 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
COM5NBSG4,COM5 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
COM5NBSG8,COM5 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
COM5NBSG12,COM5 without basement with slab on grade foundation at 12'+ water,5,23.5,25,
COM6NBSG-8,COM6 with basement at -8 - -4' water,1.6,0,0,
COM6NBSG-4,COM6 with basement at -4-0' water,2.5,0,0,
COM6NBSG0,COM6 with basement at 0-4' water,5.9,0,0,
COM6NBSG1,COM6 with basement at 0-4' water,5.9,0,0,
COM6NBSG4,COM6 with basement at 4-6'+ water,8.3,0,0,
COM6NBSG6,COM6 with basement at 6-8'+ water,8.3,0,0,
COM6NBSG8,COM6 with basement at 8'+ water,8.3,0,0,
COM6NBSG12,COM6 with basement at 8'+ water,8.3,0,0,
COM6NBFT0,COM6 with basement at 0-4' water,5.9,0,0,
COM6NBFT1,COM6 with basement at 0-4' water,5.9,0,0,
COM6NBFT4,COM6 with basement at 4-6'+ water,8.3,0,0,
COM6NBFT6,COM6 with basement at 6-8'+ water,8.3,0,0,
COM6NBFT8,COM6 with basement at 8'+ water,8.3,0,0,
COM6NBFT12,COM6 with basement at 8'+ water,8.3,0,0,
COM7NBFT0,COM7 without basement with footing foundation at 0-1' water,1.8,0,0,
COM7NBFT1,COM7 without basement with footing foundation at 1-4' water,1.8,0,0,
COM7NBFT4,COM7 without basement with footing foundation at 4-8' water,2.5,0,0,
COM7NBFT8,COM7 without basement with footing foundation at 8-12'+ water,4.3,0,0,
COM7NBFT12,COM7 without basement with footing foundation at 12'+ water,5,31.3,8.7,
COM7NBSG0,COM7 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
COM7NBSG1,COM7 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
COM7NBSG4,COM7 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
COM7NBSG8,COM7 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
COM7NBSG12,COM7 without basement with slab on grade foundation at 12'+ water,5,31.3,25,
COM8NBFT0,COM8 without basement with footing foundation at 0-1' water,1,0,0,
COM8NBFT1,COM8 without basement with footing foundation at 1-4' water,1,0,0,
COM8NBFT4,COM8 without basement with footing foundation at 4-8' water,1.3,0,0,
COM8NBFT8,COM8 without basement with footing foundation at 8-12'+ water,2.8,0,0,
COM8NBFT12,COM8 without basement with footing foundation at 12'+ water,3.1,26.9,8.7,
COM8NBSG0,COM8 without basement with slab on grade foundation at 0-1' water,1,0,0,
COM8NBSG1,COM8 without basement with slab on grade foundation at 1-4' water,1,0,0,
COM8NBSG4,COM8 without basement with slab on grade foundation at 4-8' water,1.3,0,0,
COM8NBSG8,COM8 without basement with slab on grade foundation at 8-12'+ water,2.8,0,0,
COM8NBSG12,COM8 without basement with slab on grade foundation at 12'+ water,3.1,26.9,25,
COM9NBFT0,COM9 without basement with footing foundation at 0-1' water,1,0,0,
COM9NBFT1,COM9 without basement with footing foundation at 1-4' water,1,0,0,
COM9NBFT4,COM9 without basement with footing foundation at 4-8' water,1.3,0,0,
COM9NBFT8,COM9 without basement with footing foundation at 8-12'+ water,2.8,0,0,
COM9NBFT12,COM9 without basement with footing foundation at 12'+ water,3.1,44.9,8.7,
COM9NBSG0,COM9 without basement with slab on grade foundation at 0-1' water,1,0,0,
COM9NBSG1,COM9 without basement with slab on grade foundation at 1-4' water,1,0,0,
COM9NBSG4,COM9 without basement with slab on grade foundation at 4-8' water,1.3,0,0,
COM9NBSG8,COM9 without basement with slab on grade foundation at 8-12'+ water,2.8,0,0,
COM9NBSG12,COM9 without basement with slab on grade foundation at 12'+ water,3.1,44.9,25,
COM10NBFT0,COM10 without basement with footing foundation at 0-1' water,0,69.3,5.2,
COM10NBFT1,COM10 without basement with footing foundation at 1-4' water,0,69.3,5.2,
COM10NBFT4,COM10 without basement with footing foundation at 4-8' water,0,69.3,5.2,
COM10NBFT8,COM10 without basement with footing foundation at 8-12'+ water,0,69.3,5.2,
COM10NBFT12,COM10 without basement with footing foundation at 12'+ water,0,69.3,5.2,
COM10NBSG0,COM10 without basement with slab on grade foundation at 0-1' water,0,69.3,37.5,
COM10NBSG1,COM10 without basement with slab on grade foundation at 1-4' water,0,69.3,37.5,
COM10NBSG4,COM10 without basement with slab on grade foundation at 4-8' water,0,69.3,37.5,
COM10NBSG8,COM10 without basement with slab on grade foundation at 8-12'+ water,0,69.3,37.5,
COM10NBSG12,COM10 without basement with slab on grade foundation at 12'+ water,0,69.3,37.5,
GOV1NBFT0,GOV1 without basement with footing foundation at 0-1' water,1.8,0,0,
