Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
IND2,I2HN,USACE - Galveston,"Average Light Industrial, Inventory",High Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,,1,1,1,425
IND2,I2HB,USACE - Galveston,"Average Light Industrial, Inventory",High Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,1,1,1,1,426
IND3,I3LN,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",Low Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,,1,1,1,427
IND3,I3LB,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",Low Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,1,1,1,1,428
IND3,I3MN,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",Mid Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,,1,1,1,429
IND3,I3MB,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",Mid Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,1,1,1,1,430
IND3,I3HN,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",High Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,,1,1,1,431
IND3,I3HB,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",High Rise,,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,93,1,1,1,1,432
IND4,I4LN,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",Low Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,,1,1,1,433
IND4,I4LB,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",Low Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,1,1,1,1,434
IND4,I4MN,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",Mid Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,,1,1,1,435
IND4,I4MB,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",Mid Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,1,1,1,1,436
IND4,I4HN,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",High Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,,1,1,1,437
IND4,I4HB,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",High Rise,,0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,106,1,1,1,1,438
